uid,variant,temp,file,model,modality,is_digital
2886855a,v0,t0,gemini/gemini-2.0-flash/2886855a_v0_t0_5.json,gemini-2.0-flash,MANUAL,0
db019963,v0,t0,gemini/gemini-2.0-flash/db019963_v0_t0_0.json,gemini-2.0-flash,MANUAL,0
2886855a,v1,t0,gemini/gemini-2.0-flash/2886855a_v1_t0_0.json,gemini-2.0-flash,MANUAL,0
4f9791e2,v2,t0,gemini/gemini-2.0-flash/4f9791e2_v2_t0_0.json,gemini-2.0-flash,MANUAL,0
db019963,v2,t0,gemini/gemini-2.0-flash/db019963_v2_t0_5.json,gemini-2.0-flash,MANUAL,0
ba045e2b,v1,t0,gemini/gemini-2.0-flash/ba045e2b_v1_t0_0.json,gemini-2.0-flash,MANUAL,0
d90fb1a3,v1,t0,gemini/gemini-2.0-flash/d90fb1a3_v1_t0_0.json,gemini-2.0-flash,MANUAL,0
4f9791e2,v0,t0,gemini/gemini-2.0-flash/4f9791e2_v0_t0_5.json,gemini-2.0-flash,MANUAL,0
d90fb1a3,v2,t0,gemini/gemini-2.0-flash/d90fb1a3_v2_t0_5.json,gemini-2.0-flash,MANUAL,0
db019963,v1,t0,gemini/gemini-2.0-flash/db019963_v1_t0_0.json,gemini-2.0-flash,MANUAL,0
ba045e2b,v2,t0,gemini/gemini-2.0-flash/ba045e2b_v2_t0_5.json,gemini-2.0-flash,MANUAL,0
2886855a,v0,t0,gemini/gemini-2.0-flash/2886855a_v0_t0_0.json,gemini-2.0-flash,MANUAL,0
ba045e2b,v0,t0,gemini/gemini-2.0-flash/ba045e2b_v0_t0_0.json,gemini-2.0-flash,MANUAL,0
d90fb1a3,v0,t0,gemini/gemini-2.0-flash/d90fb1a3_v0_t0_0.json,gemini-2.0-flash,MANUAL,0
4f9791e2,v1,t0,gemini/gemini-2.0-flash/4f9791e2_v1_t0_5.json,gemini-2.0-flash,MANUAL,0
2886855a,v2,t0,gemini/gemini-2.0-flash/2886855a_v2_t0_5.json,gemini-2.0-flash,MANUAL,0
ba045e2b,v1,t0,groq_batch_rate_limited/llama3-8b-8192/ba045e2b_v1_t0_5.json,llama3-8b-8192,MANUAL,0
db019963,v2,t0,groq_batch_rate_limited/llama3-8b-8192/db019963_v2_t0_0.json,llama3-8b-8192,MANUAL,0
d90fb1a3,v1,t0,groq_batch_rate_limited/llama3-8b-8192/d90fb1a3_v1_t0_5.json,llama3-8b-8192,MANUAL,0
4f9791e2,v0,t0,groq_batch_rate_limited/llama3-8b-8192/4f9791e2_v0_t0_0.json,llama3-8b-8192,MANUAL,0
db019963,v0,t0,groq_batch_rate_limited/llama3-8b-8192/db019963_v0_t0_5.json,llama3-8b-8192,MANUAL,0
2886855a,v1,t0,groq_batch_rate_limited/llama3-8b-8192/2886855a_v1_t0_5.json,llama3-8b-8192,MANUAL,0
4f9791e2,v2,t0,groq_batch_rate_limited/llama3-8b-8192/4f9791e2_v2_t0_5.json,llama3-8b-8192,MANUAL,0
ba045e2b,v0,t0,groq_batch_rate_limited/llama3-8b-8192/ba045e2b_v0_t0_5.json,llama3-8b-8192,MANUAL,0
d90fb1a3,v0,t0,groq_batch_rate_limited/llama3-8b-8192/d90fb1a3_v0_t0_5.json,llama3-8b-8192,MANUAL,0
4f9791e2,v1,t0,groq_batch_rate_limited/llama3-8b-8192/4f9791e2_v1_t0_0.json,llama3-8b-8192,MANUAL,0
2886855a,v2,t0,groq_batch_rate_limited/llama3-8b-8192/2886855a_v2_t0_0.json,llama3-8b-8192,MANUAL,0
d90fb1a3,v2,t0,groq_batch_rate_limited/llama3-8b-8192/d90fb1a3_v2_t0_0.json,llama3-8b-8192,MANUAL,0
ba045e2b,v2,t0,groq_batch_rate_limited/llama3-8b-8192/ba045e2b_v2_t0_0.json,llama3-8b-8192,MANUAL,0
db019963,v1,t0,groq_batch_rate_limited/llama3-8b-8192/db019963_v1_t0_5.json,llama3-8b-8192,MANUAL,0
2886855a,v0,t0,groq_batch_rate_limited/llama3-8b-8192/2886855a_v0_t0_5.json,llama3-8b-8192,MANUAL,0
db019963,v0,t0,groq_batch_rate_limited/llama3-8b-8192/db019963_v0_t0_0.json,llama3-8b-8192,MANUAL,0
2886855a,v1,t0,groq_batch_rate_limited/llama3-8b-8192/2886855a_v1_t0_0.json,llama3-8b-8192,MANUAL,0
4f9791e2,v2,t0,groq_batch_rate_limited/llama3-8b-8192/4f9791e2_v2_t0_0.json,llama3-8b-8192,MANUAL,0
db019963,v2,t0,groq_batch_rate_limited/llama3-8b-8192/db019963_v2_t0_5.json,llama3-8b-8192,MANUAL,0
ba045e2b,v1,t0,groq_batch_rate_limited/llama3-8b-8192/ba045e2b_v1_t0_0.json,llama3-8b-8192,MANUAL,0
d90fb1a3,v1,t0,groq_batch_rate_limited/llama3-8b-8192/d90fb1a3_v1_t0_0.json,llama3-8b-8192,MANUAL,0
4f9791e2,v0,t0,groq_batch_rate_limited/llama3-8b-8192/4f9791e2_v0_t0_5.json,llama3-8b-8192,MANUAL,0
d90fb1a3,v2,t0,groq_batch_rate_limited/llama3-8b-8192/d90fb1a3_v2_t0_5.json,llama3-8b-8192,MANUAL,0
db019963,v1,t0,groq_batch_rate_limited/llama3-8b-8192/db019963_v1_t0_0.json,llama3-8b-8192,MANUAL,0
ba045e2b,v2,t0,groq_batch_rate_limited/llama3-8b-8192/ba045e2b_v2_t0_5.json,llama3-8b-8192,MANUAL,0
2886855a,v0,t0,groq_batch_rate_limited/llama3-8b-8192/2886855a_v0_t0_0.json,llama3-8b-8192,MANUAL,0
ba045e2b,v0,t0,groq_batch_rate_limited/llama3-8b-8192/ba045e2b_v0_t0_0.json,llama3-8b-8192,MANUAL,0
d90fb1a3,v0,t0,groq_batch_rate_limited/llama3-8b-8192/d90fb1a3_v0_t0_0.json,llama3-8b-8192,MANUAL,0
4f9791e2,v1,t0,groq_batch_rate_limited/llama3-8b-8192/4f9791e2_v1_t0_5.json,llama3-8b-8192,MANUAL,0
2886855a,v2,t0,groq_batch_rate_limited/llama3-8b-8192/2886855a_v2_t0_5.json,llama3-8b-8192,MANUAL,0
ba045e2b,v1,t0,anthropic/claude-3-opus-20240229/ba045e2b_v1_t0_5.json,claude-3-opus-20240229,MANUAL,0
db019963,v2,t0,anthropic/claude-3-opus-20240229/db019963_v2_t0_0.json,claude-3-opus-20240229,MANUAL,0
d90fb1a3,v1,t0,anthropic/claude-3-opus-20240229/d90fb1a3_v1_t0_5.json,claude-3-opus-20240229,MANUAL,0
4f9791e2,v0,t0,anthropic/claude-3-opus-20240229/4f9791e2_v0_t0_0.json,claude-3-opus-20240229,MANUAL,0
db019963,v0,t0,anthropic/claude-3-opus-20240229/db019963_v0_t0_5.json,claude-3-opus-20240229,MANUAL,0
2886855a,v1,t0,anthropic/claude-3-opus-20240229/2886855a_v1_t0_5.json,claude-3-opus-20240229,MANUAL,0
4f9791e2,v2,t0,anthropic/claude-3-opus-20240229/4f9791e2_v2_t0_5.json,claude-3-opus-20240229,MANUAL,0
ba045e2b,v0,t0,anthropic/claude-3-opus-20240229/ba045e2b_v0_t0_5.json,claude-3-opus-20240229,MANUAL,0
d90fb1a3,v0,t0,anthropic/claude-3-opus-20240229/d90fb1a3_v0_t0_5.json,claude-3-opus-20240229,MANUAL,0
4f9791e2,v1,t0,anthropic/claude-3-opus-20240229/4f9791e2_v1_t0_0.json,claude-3-opus-20240229,MANUAL,0
2886855a,v2,t0,anthropic/claude-3-opus-20240229/2886855a_v2_t0_0.json,claude-3-opus-20240229,MANUAL,0
d90fb1a3,v2,t0,anthropic/claude-3-opus-20240229/d90fb1a3_v2_t0_0.json,claude-3-opus-20240229,MANUAL,0
ba045e2b,v2,t0,anthropic/claude-3-opus-20240229/ba045e2b_v2_t0_0.json,claude-3-opus-20240229,MANUAL,0
db019963,v1,t0,anthropic/claude-3-opus-20240229/db019963_v1_t0_5.json,claude-3-opus-20240229,MANUAL,0
2886855a,v0,t0,anthropic/claude-3-opus-20240229/2886855a_v0_t0_5.json,claude-3-opus-20240229,MANUAL,0
db019963,v0,t0,anthropic/claude-3-opus-20240229/db019963_v0_t0_0.json,claude-3-opus-20240229,MANUAL,0
2886855a,v1,t0,anthropic/claude-3-opus-20240229/2886855a_v1_t0_0.json,claude-3-opus-20240229,MANUAL,0
