uid,model,variant,temperature,modality,strict,rescued,schema_status,file
b4ec494d,gemini-2.5-flash-preview-05-20,1,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/b4ec494d_v1_t0_5.json
8fc9d168,gemini-2.5-flash-preview-05-20,1,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/8fc9d168_v1_t0_5.json
936aa3e5,gemini-2.5-flash-preview-05-20,1,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/936aa3e5_v1_t0_5.json
faa67d8f,gemini-2.5-flash-preview-05-20,0,0.5,TEXT,0,0,fail,gemini/gemini-2.5-flash-preview-05-20/faa67d8f_v0_t0_5.json
47817359,gemini-2.5-flash-preview-05-20,1,0.0,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/47817359_v1_t0_0.json
27910ee5,gemini-2.5-flash-preview-05-20,0,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/27910ee5_v0_t0_0.json
a79efa23,gemini-2.5-flash-preview-05-20,2,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/a79efa23_v2_t0_5.json
1b64c419,gemini-2.5-flash-preview-05-20,2,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/1b64c419_v2_t0_5.json
0dd1e9ca,gemini-2.5-flash-preview-05-20,0,0.0,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/0dd1e9ca_v0_t0_0.json
d21fc252,gemini-2.5-flash-preview-05-20,1,0.0,VISION,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/d21fc252_v1_t0_0.json
9cebf902,gemini-2.5-flash-preview-05-20,0,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/9cebf902_v0_t0_0.json
dc35566b,gemini-2.5-flash-preview-05-20,2,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/dc35566b_v2_t0_0.json
85a846ff,gemini-2.5-flash-preview-05-20,1,0.5,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/85a846ff_v1_t0_5.json
b4ec494d,gemini-2.5-flash-preview-05-20,2,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/b4ec494d_v2_t0_0.json
f260aa25,gemini-2.5-flash-preview-05-20,0,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/f260aa25_v0_t0_0.json
07080553,gemini-2.5-flash-preview-05-20,1,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/07080553_v1_t0_0.json
25c9f684,gemini-2.5-flash-preview-05-20,1,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/25c9f684_v1_t0_5.json
f6d74921,gemini-2.5-flash-preview-05-20,2,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/f6d74921_v2_t0_0.json
9cebf902,gemini-2.5-flash-preview-05-20,2,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/9cebf902_v2_t0_5.json
dc35566b,gemini-2.5-flash-preview-05-20,0,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/dc35566b_v0_t0_5.json
2bc72355,gemini-2.5-flash-preview-05-20,1,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/2bc72355_v1_t0_5.json
faa67d8f,gemini-2.5-flash-preview-05-20,2,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/faa67d8f_v2_t0_0.json
bbf22c00,gemini-2.5-flash-preview-05-20,1,0.5,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/bbf22c00_v1_t0_5.json
0dd1e9ca,gemini-2.5-flash-preview-05-20,2,0.5,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/0dd1e9ca_v2_t0_5.json
1b64c419,gemini-2.5-flash-preview-05-20,0,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/1b64c419_v0_t0_0.json
a79efa23,gemini-2.5-flash-preview-05-20,0,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/a79efa23_v0_t0_0.json
27910ee5,gemini-2.5-flash-preview-05-20,2,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/27910ee5_v2_t0_5.json
ab599408,gemini-2.5-flash-preview-05-20,1,0.5,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/ab599408_v1_t0_5.json
f6d74921,gemini-2.5-flash-preview-05-20,0,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/f6d74921_v0_t0_5.json
0c07452f,gemini-2.5-flash-preview-05-20,1,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/0c07452f_v1_t0_0.json
9652a31e,gemini-2.5-flash-preview-05-20,1,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/9652a31e_v1_t0_0.json
b4ec494d,gemini-2.5-flash-preview-05-20,0,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/b4ec494d_v0_t0_5.json
f260aa25,gemini-2.5-flash-preview-05-20,2,0.5,TEXT,0,1,rescued,gemini/gemini-2.5-flash-preview-05-20/f260aa25_v2_t0_5.json
ce0be4e8,gemini-2.5-flash-preview-05-20,1,0.5,VISION,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/ce0be4e8_v1_t0_5.json
8cc4a9e1,gemini-2.5-flash-preview-05-20,1,0.5,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/8cc4a9e1_v1_t0_5.json
7e365caf,gemini-2.5-flash-preview-05-20,1,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/7e365caf_v1_t0_0.json
2bc72355,gemini-2.5-flash-preview-05-20,0,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/2bc72355_v0_t0_0.json
d21fc252,gemini-2.5-flash-preview-05-20,2,0.0,VISION,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/d21fc252_v2_t0_0.json
85a846ff,gemini-2.5-flash-preview-05-20,2,0.5,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/85a846ff_v2_t0_5.json
dc35566b,gemini-2.5-flash-preview-05-20,1,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/dc35566b_v1_t0_0.json
47817359,gemini-2.5-flash-preview-05-20,2,0.0,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/47817359_v2_t0_0.json
bbf22c00,gemini-2.5-flash-preview-05-20,0,0.0,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/bbf22c00_v0_t0_0.json
1b64c419,gemini-2.5-flash-preview-05-20,1,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/1b64c419_v1_t0_5.json
a79efa23,gemini-2.5-flash-preview-05-20,1,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/a79efa23_v1_t0_5.json
8fc9d168,gemini-2.5-flash-preview-05-20,2,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/8fc9d168_v2_t0_5.json
936aa3e5,gemini-2.5-flash-preview-05-20,2,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/936aa3e5_v2_t0_5.json
9652a31e,gemini-2.5-flash-preview-05-20,0,0.5,TEXT,0,0,fail,gemini/gemini-2.5-flash-preview-05-20/9652a31e_v0_t0_5.json
ab599408,gemini-2.5-flash-preview-05-20,0,0.0,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/ab599408_v0_t0_0.json
25c9f684,gemini-2.5-flash-preview-05-20,2,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/25c9f684_v2_t0_5.json
07080553,gemini-2.5-flash-preview-05-20,2,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/07080553_v2_t0_0.json
f6d74921,gemini-2.5-flash-preview-05-20,1,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/f6d74921_v1_t0_0.json
0c07452f,gemini-2.5-flash-preview-05-20,0,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/0c07452f_v0_t0_5.json
ce0be4e8,gemini-2.5-flash-preview-05-20,0,0.0,VISION,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/ce0be4e8_v0_t0_0.json
8cc4a9e1,gemini-2.5-flash-preview-05-20,0,0.0,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/8cc4a9e1_v0_t0_0.json
7e365caf,gemini-2.5-flash-preview-05-20,0,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/7e365caf_v0_t0_5.json
b4ec494d,gemini-2.5-flash-preview-05-20,1,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/b4ec494d_v1_t0_0.json
faa67d8f,gemini-2.5-flash-preview-05-20,1,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/faa67d8f_v1_t0_0.json
47817359,gemini-2.5-flash-preview-05-20,0,0.5,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/47817359_v0_t0_5.json
27910ee5,gemini-2.5-flash-preview-05-20,1,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/27910ee5_v1_t0_5.json
bbf22c00,gemini-2.5-flash-preview-05-20,2,0.5,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/bbf22c00_v2_t0_5.json
0dd1e9ca,gemini-2.5-flash-preview-05-20,1,0.5,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/0dd1e9ca_v1_t0_5.json
8fc9d168,gemini-2.5-flash-preview-05-20,0,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/8fc9d168_v0_t0_0.json
936aa3e5,gemini-2.5-flash-preview-05-20,0,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/936aa3e5_v0_t0_0.json
2bc72355,gemini-2.5-flash-preview-05-20,2,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/2bc72355_v2_t0_5.json
d21fc252,gemini-2.5-flash-preview-05-20,0,0.5,VISION,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/d21fc252_v0_t0_5.json
9cebf902,gemini-2.5-flash-preview-05-20,1,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/9cebf902_v1_t0_5.json
85a846ff,gemini-2.5-flash-preview-05-20,0,0.0,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/85a846ff_v0_t0_0.json
8cc4a9e1,gemini-2.5-flash-preview-05-20,2,0.5,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/8cc4a9e1_v2_t0_5.json
ce0be4e8,gemini-2.5-flash-preview-05-20,2,0.5,VISION,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/ce0be4e8_v2_t0_5.json
7e365caf,gemini-2.5-flash-preview-05-20,2,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/7e365caf_v2_t0_0.json
f260aa25,gemini-2.5-flash-preview-05-20,1,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/f260aa25_v1_t0_5.json
9652a31e,gemini-2.5-flash-preview-05-20,2,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/9652a31e_v2_t0_0.json
07080553,gemini-2.5-flash-preview-05-20,0,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/07080553_v0_t0_5.json
25c9f684,gemini-2.5-flash-preview-05-20,0,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/25c9f684_v0_t0_0.json
ab599408,gemini-2.5-flash-preview-05-20,2,0.5,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/ab599408_v2_t0_5.json
